	similarity_component_id	step6
0	0	szabó ákos
1	0	szabó netta
2	0	szabics
3	0	szabó iván
4	0	szabó tamara
5	0	szabó réka
6	0	szabó ágnes
7	0	szabó kisanna
8	0	szabó károly
9	0	szalóky károly
10	0	szabó t anna
11	0	szabó amanda
12	0	szabó e tamás
13	0	szabics ánes
14	0	szabó márta
15	0	szabó ádám
16	0	szabó zsuzsanna
17	0	szabó nóra
18	0	szabics agnes
19	0	szabó áron
20	0	szabó márton
21	0	szabó márk
22	0	szabó d
23	0	szabó renáta
24	0	szabó íádám
25	0	szabó ádám h
26	0	szabics ágnes
27	0	szabó maya
28	0	szabó beáta
29	0	szablyár zsuzsanna
30	0	szabó tamás
31	0	szabó a
32	0	szabó barbara
33	0	szabó e á
34	0	szabó istván
35	0	szabó jános
36	0	szatmári zsuzsanna
37	0	szabó sára
38	0	szabics á
39	0	szabó orsolya
40	0	szabó anna
41	0	szabó lajos
42	0	szabó ádám bálint
43	0	szabó dorottya
44	0	szabo agnes
45	0	szabó ádám b
46	0	szabó
47	1	horváth zita
48	1	horváth dénes
49	1	horváth krisztián
50	1	horváth gideon
51	1	horváth t
52	1	horváth hilda
53	1	horváth károly
54	1	horváth judit
55	1	horváth roland
56	1	horváth tibor
57	1	horváth lóczi judit
58	1	horváth orsolya
59	1	horváth ádám
60	1	horváth mátyás
61	1	horváth péter
62	1	horváth m judit
63	1	horváth kinga
64	1	horváth márk
65	1	horváth dávid
66	1	horváth zsófi
67	1	horváth orsi
68	1	horváth tibor hu
69	1	horváth árpád
70	1	horváth zsófia
71	1	horváth ádám márton
72	1	horváth márton
73	1	horváth kristóf
74	1	horváth gábor
75	1	horváth r gideon
76	1	horváth ágnes
77	1	horváth tamás
78	1	horváth zsofia
79	1	horváth jános
80	1	horváth sándor
81	1	horváth viktor
82	1	horváth lóczy judit
83	1	horváth krisztina
84	1	horváth ági
85	1	horváth tünde
86	2	szilágyi zsombor
87	2	szirányi istvá
88	2	szily laszlo
89	2	szirányi istván
90	2	szilasi lászló
91	2	szil istván
92	2	szszilágyi gábor
93	2	szvet tamás
94	2	szilágyi sándor
95	2	szilágyi gál mihály
96	2	szily lászló
97	2	szigeti tamás
98	2	szigeti istván
99	2	szilágyi mihály
100	2	szilágyi gábor
101	2	szigeti árpád
102	2	szilágyi pál
103	2	szilágyi jános györgy
104	2	szita istván
105	2	szilágyi jános
106	2	szigeti andrás
107	2	szesztay csanád
108	2	szerényi gábor
109	2	szigeti tamás festő
110	2	szigeti máté
