	step0	frequency_original
0		8
1	Pléh Csaba,	6
2	Somosi Rita	16
3	Ozana Muresan,	2
4	Bibekananda Santra,	2
5	Rácz Má,	2
6	Hatvani Emese,	2
7	Polyák Ildikó,	2
8	Daniela Krajčová,	4
9	Nan Groot Antink,	2
10	Előadók: Tatai Erzsébet,	1
11	Naptár,	2
12	Dávid Demeter,	2
13	Észtország,	2
14	Kőnig frigyes festőművész	2
15	Pető Barna,	14
16	Tarsó Katalin,	2
17	Stanisław Legus,	2
18	José Luis Martinez H.,	2
19	Szaxon-Szász János,	2
20	BAKSAI JÓZSEF,	2
21	LUX Antal D,	2
22	Sterk Barbara,	4
23	Anna Kott,	2
24	MA,	2
25	Antall István a Magyar Rádió irodalmi szerkesztője	7
26	Varga Bálint	2
27	Gulácsy és Rippl-Rónai festményei,	2
28	dr Gellér Katalin	2
29	Richard Jochum,	2
30	Aliza Bin-Noun  Izrael Állam nagykövete,	2
31	Anna Maragoudaki,	2
32	Kántás Balázs,	2
33	Erdei Krisztina,	51
34	Kunkovács László etnofotográfus,	1
35	Jonas Georg CHRISTENSEN,	2
36	Tolvaly Ernő Munkácsy díjas festőművész	1
37	Gudny Gudmundsdottir,	2
38	Fukui Atsushi,	2
39	GYARMATHY TIHAMÉR,	2
40	turbulensegyüttes	2
41	Katz Katalin szociológus (Jeruzsálemi Egyetem),	2
42	MUCSI Emese,	1
43	Kor­ha­tár nél­kül – csa­lá­di nap	4
44	SZŐKE Erika,	2
45	PÉTER Ágnes,	3
46	Szabó Orsolya	2
47	Falcsik Mari és Lantos László Triceps	2
48	Route 8 Live,	3
49	KESERÜ Károly,	5
50	Tóth Ernő,	4
51	Györe Balázs	2
52	Jan Saudek,	2
53	Jenei Barna Márton	1
54	Maria Anwander,	2
55	csoportos	6
56	Careof & Viafarini Documentation Center  (IT),	1
57	Kemenesi Zsuzsanna	4
58	Verebics Katalin,	39
59	Patricia Almeida	2
60	Bodonyi Emőke	13
61	Kaja Werbanowska	1
62	prof. Kőnig Frigyes DLA habil rektor	2
63	dr. Máriás	2
64	Nemcsik Dávid,	2
65	S,	2
66	Tillmann J. A. filozófus,	2
67	"Fellép: Kürti Gábor ""Kükü""  CricalMass Budapest,"	2
68	Halmi-Horváth István	2
69	Maria Pavlaki,	2
70	Pierre-Étienne Morelle	2
71	Nádudvari Noémi,	8
72	Kokum,	2
73	Madácsy István,	9
74	Solti Gizella textilművész,	2
75	Zsila Sándor,	2
76	Almásy Ottilia,	2
77	Hiller István kulturális miniszter	4
78	Kiállítás és kerekasztal beszélgetés,	2
79	Labor 10,	1
80	Nina Czegledy,	8
81	Erdély Miklós és még sokan,	2
82	Tobias Löffler,	4
83	Mezei Ildikó,	10
84	Benera Anca,	1
85	Jana Kapelová,	1
86	Maurer Dóra,	126
87	FinnFemFel,	2
88	Hilary Jeffery (Nagy-Britannia – Németország) – harsona,	2
89	Vekerdy Tamás pszichológus	2
90	Pongor Soma	1
91	Pálos Anna,	2
92	zenepedagógussal,	2
93	Majoros Lili Zsófia,	2
94	P E R B A K J E N S E N,	1
95	Anetta Mona Chisa,	4
96	Hodosy Enikő,	8
97	FREUND ÉVA,	1
98	György Péter esztéta	8
99	Kuroszava Akira: A részeg angyal	1
100	Herman Seidl,	2
101	Kaszás Konrád,	6
102	Rick Griffin,	1
103	Radoslav Putar,	2
104	Anton Prinner,	2
105	Szy Katalin pszichológus-író	2
106	Kauker Dóra,	6
107	SOMOSI Rita	1
108	levéltáros,	1
109	Ko­vács Kitti,	2
110	Imre Györgyi,	4
111	A Magyar Képzőművészeti Egyetem Festő Tanszékének oktatói és hallgatói,	2
112	Gerhard Häfner,	1
113	Sigurd Rompza,	2
114	Fredric Jameson: Posztmodernizmus és fogyasztói társadalom,	1
115	Petr Kratky,	2
116	Peter Peer,	2
117	Végvári Zsófia	6
118	Abraham Polonsky: A gonosz ereje	1
119	Kiss Ágnes Katinka,	1
120	A képzőművészeti Egyetem hallgatói,	2
121	Kortárs horvát grafika,	2
122	Louise Drulhe,	2
123	BENCS Dániel,	2
124	Yulia Utysheva,	2
125	FENYVESI Áron művészettörténész	2
126	Alessandra Critelli,	2
127	O. Mladý,	3
128	Odooproject	1
129	Gazda Bence,	4
130	Pohárnok Gergely	2
131	Patrizia Dottori,	2
132	Bozóki András politológus  CEU	2
133	Exoned Stickers	2
134	Makkai Márta,	2
135	Adéla Svobodová  cseh képzőművész,	2
136	Société Réaliste	9
137	Ralo Mayer,	2
138	Mártha Albert képzőművész,	1
139	Jászberényi Sándor,	2
140	Üveges Tamás,	4
141	MikikeveR	2
142	Gianluigi Maria Masucci,	2
143	szabadbeadásos,	1
144	Kincses Károly,	24
145	Aleksander Komarov (BY / NL),	2
146	Orbán György képzőművész	2
147	The Chief Judge,	2
148	Rainforest	2
149	Lelkes Márk,	4
150	Jékely Zsolt	1
151	Csörgő Attila	8
152	Földes László építész,	2
153	43 mìvész 15 országból,	2
154	Nagy Gabriella es Pacsika Rudolf,	1
155	SULYOK MIKLÓS  művészettörténész,	2
156	a Magyar Alkotóművészeti Közhasznú Nonprofit Kft. főigazgatója,	2
157	Németh Andrea fotóművész,	1
158	Szabó Illés–KIss Benedek duó	2
159	Szentendrei művésztelep,	2
160	Szijártó Zsolt	2
161	SZILÁGYI TERÉZ,	2
162	Minko Jovcsev,	2
163	Victoria Square Project,	2
164	Jörg Immendorff,	4
165	Csere-bere,	2
166	Malaga Quintet,	2
167	Leo Kuelbs,	4
168	egyetemi docens (Magyar Képzőművészeti Egyetem)	1
169	Kettinger Klára,	1
170	Dr. Szeifert Judit	5
171	Pekko Koskinen – Christiane Hütter,	2
172	Kiss Botond,	7
173	Keszeg Nándor,	2
174	Ferkai András	4
175	SZÉCHY Beáta,	1
176	Hubert Riedel,	2
177	Gu Fan,	2
178	LORENZO ARMENDÁRIZ,	1
179	Zsigmond László,	2
180	Pap Ramóna,	16
181	Kovács Andrea,	3
182	Szűcs Tibor	5
183	Kocsis Csaba,	2
184	György Péter Ph.D előadása	2
185	Eva Labotkin (Tallinn/Tartu)  Johannes Paul Raether (Berlin),	2
186	Gadó Gábor jazzgitáros,	2
187	moderator,	2
188	Részegh Botond (Románia),	2
189	Szuhay Péter kultúrantropológus,	2
190	Solti András,	2
191	Lőrincze Miklós,	2
192	elektronika,	2
193	Szalontai Ábel,	14
194	Desiree Dolron,	2
195	Rupertinum,	2
196	Generatio Praecox (Horváth Tibor,	1
197	Horváth Krisztina	1
198	Nagy Judit Borbála,	5
199	Faragó Laura énekművész,	1
200	Mamikon Yengibarian	3
201	Ondruss Gábor	2
202	BeatKOHO Akusztik,	2
203	Pogátsa Zoltán	2
204	Beszelgetőtársak: Réz András,	2
205	Kokesch Ádám (HU),	2
206	zene	2
207	Mana Bucur,	6
208	Monhor Viktória,	8
209	Serediuk Peter,	2
210	Scott,	1
211	Jim Osborne,	2
212	Drimmer Katalin,	1
