!! Finissage !!	!! Finissage !!
!! Finissage !!	!! Finissage !!
!Forradalom?,	!Forradalom?,
!Forradalom?,	!Forradalom?,
"Col Tempo" és#8211; A W.-projekt,	"Col Tempo" és#8211; A W.-projekt,
"Col Tempo" és#8211; A W.-projekt,	"Col Tempo" és#8211; A W.-projekt,
"Die Planung / A Terv",	"Die Planung
"Die Planung / A Terv",	A Terv",
"Die Planung / A Terv",	"Die Planung
"Die Planung / A Terv",	A Terv",
"Kismező  Nagymező,	"Kismező  Nagymező,
"Kismező  Nagymező,	"Kismező  Nagymező,
"Klíma",	"Klíma",
"Klíma",	"Klíma",
"Out of Time"	"Out of Time"
"Out of Time"	"Out of Time"
"Szerviz",	"Szerviz",
"Szerviz",	"Szerviz",
"Utópia vagy disztópia?"pályázat	"Utópia vagy disztópia?"pályázat
"Vágyvírus" - Németh László keramikus és Király Levente költő estje és kiállítása;,	"Vágyvírus"
"Vágyvírus" - Németh László keramikus és Király Levente költő estje és kiállítása;,	Németh László keramikus
"Vágyvírus" - Németh László keramikus és Király Levente költő estje és kiállítása;,	Király Levente költő estje
"Vágyvírus" - Németh László keramikus és Király Levente költő estje és kiállítása;,	kiállítása;,
"Y GALÉRIA" TÁRSASÁG,	"Y GALÉRIA" TÁRSASÁG,
"Én meg az Ének",	"Én meg az Ének",
Fekete Zoltán videoinstallációja,	Fekete Zoltán videoinstallációja,
Fekete Zoltán videoinstallációja,	Fekete Zoltán videoinstallációja,
&#213;excellenciája Dimitris Contoumas úr,	&#213;excellenciája Dimitris Contoumas úr,
&#213;excellenciája Dimitris Contoumas úr,	&#213;excellenciája Dimitris Contoumas úr,
&#8222;Biciklis köz-mű-tárgy&#8221; kiállítás; Madárijesztő-rémísztő kiállítás;,	&#8222;Biciklis köz-mű-tárgy&#8221; kiállítás; Madárijesztő-rémísztő kiállítás;,
&Aring;sa Sonjasdottír,	&Aring;sa Sonjasdottír,
&Aring;sa Sonjasdottír,	&Aring;sa Sonjasdottír,
,	,
,	,
,	,
,	,
(Gróf Ferenc,	(Gróf Ferenc,
(Gróf Ferenc,	(Gróf Ferenc,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
 Sajnos Gegely,	 Sajnos Gegely,
 Sajnos Gegely,	 Sajnos Gegely,
)+-(,	)+-(,
),	),
),	),
*	*
*	*
*	*
*	*
*	*
***,	***,
***,	***,
*,	*,
*,	*,
*,	*,
*,	*,
*,	*,
*An Chiin* performer,	*An Chiin* performer,
*An Chiin* performer,	*An Chiin* performer,
*Fodor János,	*Fodor János,
*Fodor János,	*Fodor János,
*Fodor János,	*Fodor János,
*Fodor János,	*Fodor János,
*ad-hoc* zenekar,	*ad-hoc* zenekar,
*ad-hoc* zenekar,	*ad-hoc* zenekar,
+ 44 pályázó,	+ 44 pályázó,
+ SI-LA-GI és E. SZIRAKI,	+ SI-LA-GI
+ SI-LA-GI és E. SZIRAKI,	E. SZIRAKI,
+ SI-LA-GI és K.ZS. Drölma,	+ SI-LA-GI
+ SI-LA-GI és K.ZS. Drölma,	K.ZS. Drölma,
+ Válogatás Zimányi László gyűjteményéből,	+ Válogatás Zimányi László gyűjteményéből,
+ Válogatás Zimányi László gyűjteményéből,	+ Válogatás Zimányi László gyűjteményéből,
+ büfé,	+ büfé,
+ büfé,	+ büfé,
+ meglepetés,	+ meglepetés,
+ meglepetés,	+ meglepetés,
+El Kazovszkij,	+El Kazovszkij,
+El Kazovszkij,	+El Kazovszkij,
+Janáky István,	+Janáky István,
+Janáky István,	+Janáky István,
+Simsay Ildikó,	+Simsay Ildikó,
+Simsay Ildikó,	+Simsay Ildikó,
+műhely,	+műhely,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
,	,
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
