	step4	step5
0	Finissage	DELETED
1	Finissage	DELETED
2	Forradalom	DELETED
3	Forradalom	DELETED
4	Die Planung	Die Planung
5	A Terv	DELETED
6	Die Planung	Die Planung
7	A Terv	DELETED
8	Kismező  Nagymező	Kismező Nagymező
9	Kismező  Nagymező	Kismező Nagymező
10	Klíma	DELETED
11	Klíma	DELETED
12	Out of Time	Out Time
13	Out of Time	Out Time
14	Szerviz	DELETED
15	Szerviz	DELETED
16	Utópia vagy disztópiapályázat	Utópia disztópiapályázat
17	Vágyvírus	DELETED
18	Németh László keramikus	Németh László keramikus
19	Király Levente költő estje	Király Levente
20	kiállítása	DELETED
21	Y Galéria Társaság	Galéria Társaság
22	Én meg Ének	Én Ének
23	Fekete Zoltán videoinstallációja	Fekete Zoltán videoinstallációja
24	Fekete Zoltán videoinstallációja	Fekete Zoltán videoinstallációja
25	&Aringsa Sonjasdottír	&Aringsa Sonjasdottír
26	&Aringsa Sonjasdottír	&Aringsa Sonjasdottír
27	Gróf Ferenc	Gróf Ferenc
28	Gróf Ferenc	Gróf Ferenc
29	Sajnos Gegely	Sajnos Gegely
30	Sajnos Gegely	Sajnos Gegely
31	An Chiin performer	An Chiin
32	An Chiin performer	An Chiin
33	Fodor János	Fodor János
34	Fodor János	Fodor János
35	Fodor János	Fodor János
36	Fodor János	Fodor János
37	adhoc zenekar	DELETED
38	adhoc zenekar	DELETED
39	SiLaGi	DELETED
40	E Sziraki	DELETED
41	SiLaGi	DELETED
42	KZs ölma	KZs ölma
43	Válogatás Zimányi László gyűjteményéből	Válogatás Zimányi László
44	Válogatás Zimányi László gyűjteményéből	Válogatás Zimányi László
45	büfé	DELETED
46	büfé	DELETED
47	meglepetés	DELETED
48	meglepetés	DELETED
49	El Kazovszkij	El Kazovszkij
50	El Kazovszkij	El Kazovszkij
51	Janáky István	Janáky István
52	Janáky István	Janáky István
53	Simsay Ildikó	Simsay Ildikó
54	Simsay Ildikó	Simsay Ildikó
55	műhely	DELETED
56	Szépfalvi Ágnes	Szépfalvi Ágnes
57	Szilágyi Kornél	Szilágyi Kornél
58	Vándor Csaba	Vándor Csaba
59	Várnagy Tibor	Várnagy Tibor
60	Várnai Gyula	Várnai Gyula
61	Szépfalvi Ágnes	Szépfalvi Ágnes
62	Szilágyi Kornél	Szilágyi Kornél
63	Vándor Csaba	Vándor Csaba
64	Várnagy Tibor	Várnagy Tibor
65	Várnai Gyula	Várnai Gyula
66	Vasil Artamonov	Vasil Artamonov
67	Alexey Klyuykov	Alexey Klyuykov
68	válogatás a gyűjteményből	DELETED
69	válogatás a gyűjteményből	DELETED
70	kurátorok Adam Nankervis	Adam Nankervis
71	kurátorok Adam Nankervis	Adam Nankervis
72	Bodó Viktor	Bodó Viktor
73	Bordács Andrea	Bordács Andrea
74	Bordács Andrea	Bordács Andrea
75	Haris László fotóművész	Haris László
76	Kincses Károly fotótörténész beszélget a szerzőről	Kincses Károly fotótörténész szerzőről
77	képeiről	DELETED
78	Haris László fotóművész	Haris László
79	Kincses Károly fotótörténész beszélget a szerzőről	Kincses Károly fotótörténész szerzőről
80	képeiről	DELETED
81	Hudra Klára	Hudra Klára
82	Hudra Klára	Hudra Klára
83	Ilona Keserü Ilona	Ilona Keserü Ilona
84	Katkó Tamás	Katkó Tamás
85	Katkó Tamás	Katkó Tamás
86	Müllner András	Müllner András
87	Müllner András	Müllner András
88	SzkripkaJávorszky Anasztázia	SzkripkaJávorszky Anasztázia
89	SzkripkaJávorszky Anasztázia	SzkripkaJávorszky Anasztázia
90	még sokan mások	DELETED
91	még sokan mások	DELETED
92	Zsemlye Ildikó	Zsemlye Ildikó
93	Zsemlye Ildikó	Zsemlye Ildikó
94	Zilinszky József	Zilinszky József
95	Zilinszky József	Zilinszky József
96	Zsankó László	Zsankó László
97	Zsankó László	Zsankó László
98	efZámbó István	efZámbó István
99	és még sokan mások	DELETED
100	és még sokan mások	DELETED
101	Varga Csaba	Varga Csaba
102	és még sokan mások	DELETED
103	és még sokan mások	DELETED
104	page	DELETED
105	page	DELETED
106	page	DELETED
107	furpáros	DELETED
108	furpáros	DELETED
109	Mike Nylons	Mike Nylons
110	live	DELETED
111	Mike Nylons	Mike Nylons
112	live	DELETED
113	magyar mezogazdász család közremuködésével	mezogazdász közremuködésével
114	magyar mezogazdász család közremuködésével	mezogazdász közremuködésével
115	külföldi	DELETED
116	külföldi	DELETED
117	Julien Saglio Leveskomozicio	Julien Saglio Leveskomozicio
118	Julien Saglio Leveskomozicio	Julien Saglio Leveskomozicio
119	Julien Saglio Leveskomozicio	Julien Saglio Leveskomozicio
120	koncert áram nélkül	DELETED
121	koncert áram nélkül	DELETED
122	Szeri Viktor Résztvevők Cuhorka Emese	Szeri Viktor Résztvevők Cuhorka Emese
123	Szeri Viktor Résztvevők Cuhorka Emese	Szeri Viktor Résztvevők Cuhorka Emese
124	vetítés	DELETED
