	step6	version 6 - top sim	version 6 - cnt
0	batisz miklos	58	5
1	bene zsofia	64	6
2	dan barta	67	2
3	pistyur imre	60	4
4	kiss levente	67	2
5	joseph beuys	54	26
6	kutvolgyi lena laki eszter magyarosi eva mesterh	54	2
7	kontuly bela	53	2
8	pedro varela	54	3
9	bodi kinga	74	16
10	pallavi majumder	52	2
11	szekely gyorgy	73	4
12	osz gabor	74	31
13	ampli ferenc iszkaszentgyorgyi alpolgarmeszter	47	2
14	nan groot antink	55	2
15	bengi laszlo	78	2
16	arki tibor	57	7
17	saros laszlo	78	2
18	chus martinez	54	2
19	sziurcsik erika	56	2
20	laszlo milasovszky	58	10
21	magyar milan	56	4
22	zirci judit	64	2
23	moholy nagy laszlo	60	3
24	marcin polak	61	2
25	bajusz orsolya	67	21
26	gyarfas peter	74	4
27	fiterman lea	62	2
28	barsony julia	74	2
29	kepszonettek hommage balint endre	46	2
30	szabo karoly	75	23
31	flaka haliti	57	1
32	salyamosy anna	62	2
33	marek kvetan	59	2
34	christiane peschek	63	4
35	clara rueprich	54	2
36	david yengibarian harmonukamuvesz	52	2
37	beck andras	61	6
38	orban gergely	72	2
39	jeneine rubovszky csilla	50	2
40	annamarie turk kuratora	51	2
41	sajo istvantol oelschlagerory lajosig	52	1
42	vargha tamas szfv mjv tanacsnoka	50	2
43	csernyus lorinc	55	5
44	kovacs gyula	70	6
45	forsch botond	67	1
46	jonas marguet	54	2
47	michael bleyenberg	67	2
48	olivia arthur	54	1
49	karlheinz stockhausen	54	1
50	klein kinga	69	2
51	garay klara	59	2
52	pierre de grandnoire	50	2
53	snje 3/4 ana pintariae muzej suvremene umjetnosti zagreb	41	2
54	alex braun	60	2
55	gyori gyula	67	2
56	michael hopfner	67	2
57	kovacs kristof mihaly	56	6
58	szekelyhidi zsolt	58	8
59	ann reder	57	2
60	frost architects	56	2
61	ter wal	53	4
62	luca komives	64	2
63	bardi sara	73	1
64	kalna natalia	79	1
65	szirtes janos	64	160
66	mathe gyorgy	77	2
67	vasarely muzeum	58	2
68	kaido ole	56	8
69	nagy ibi	74	2
70	bakanyi gyula	67	2
