	8
Szekeres Károly,	2
Mika Kitamura,	1
Hernády Miklós	2
Valkó Lás,	1
Roger Bourke,	1
Paul Aron előad&agrave;sa	2
megnyitja: Margit Mutso,	2
Németh Erika	1
Miskolczi Emese	2
ASRI SAYRAC (D),	2
Török Tímea	2
Koncz István,	4
SZOLNOKI MŰVÉSZTELEP művészei,	2
Káplár Ferenc,	2
Molnár Sándor	1
London Fieldworks,	4
Agócs Írisz,	2
bada dada tibor,	2
Sugár János	82
Mekis D. János	2
Lampert Benedek,	3
Vince Ottó,	2
Lőrinc Katalin,	2
Kis Endre,	12
Artner Szilvia Sisso,	2
Csordás Zoltán képzőművész,	3
doc. Ing. arch. Radomíra Sedláková,	2
Schmidt Motor Péter,	2
Schwarcz Volker,	2
Előadó: Szilágyi Ákos esztéta,	2
Karol Radziszewski,	15
Fenyvesi Áron  művészettörténész	2
Móró Máté,	2
Ciprian Mureºan,	2
Murányi Kristóf,	7
Mezőberényi Krisztina,	4
Meghívás szerint,	2
Marina Gr¾iniæ	1
Aleksander Zorgaf,	2
Marcus Zobl	2
Gurgel Fanny - gordonka	1
Kovách Gergő szobrászművész,	1
Kovács Ágota Júlia,	2
címzetes egyetemi docens	2
Guglielmo Achille Cavellini,	5
Jancsó Miklós	1
ELTE Társadalomtudományi Kar),	2
G. István László	2
Gergely Mariann művészettörténész	1
Zsemlye Ildikó és Újházi Péter,	2
Hans KOTTER	4
Veres Júlia,	3
Makk Lilla Orsolya,	1
KONOK Tamás,	6
Molnár Mariann,	1
Pauer Gyula  Perneczky Géza,	2
Németh Hajnal	18
Mohács András szobrászművész MOME adjunktus	2
Schmied Andrea,	2
Bodoloczki Linda,	3
Tóth Pál Sándor,	4
Kocsis Csaba,	2
Miklós János,	5
Jánosi Antal,	2
Luchezar Boyadjiev,	2
László Gergely / Rákosi Péter (HU),	2
Kondor Attila,	32
Prieger Zsolt (Anima Sound system)	2
Poka-Yio / Athens Biennále,	1
Eleőd Ákos,	9
MÁTRAI Erik,	1
Budaházi Tibor,	7
BREZI,	2
Temple Réka	2
BIESS Katalin,	4
Cãlin Dan,	2
Dr. Tóth József	2
a Robert Capa Kortárs Fotográfiai Központ kurátora	1
EL Kazovszkij,	1
KNEISZ Eszter,	2
Böröcz Sándor	2
Kevin Spacey,	2
Ficsku Pál	3
Cseh Lili,	30
Clavout,	1
Kerekasztal-beszélgetés	2
Miyokusi Mikuraki,	2
Mircea Cantor,	4
Böjte - Horváth István	2
Erfan Khalifa,	2
Fenyvesi Áron	95
kerületi esperes	2
Nagy Péter András,	2
Dr. Veres András szombathelyi megyéspüspök	2
Kozma Klasszik | Budapest Műhely	2
Péter Bencze	2
Richter Zsuzsi,	2
Mészáros Márta Millesime,	1
Fenekovács László,	2
Ejtech,	2
Szombathy Bálint képzőművész	2
Kunkovács László,	3
Magyari Balázs	1
Viola Szandra,	2
Krétakör,	2
Swoboda Katharina,	2
Végső Zoltán	1
performer,	2
Gellér B. István,	19
EJTECH,	1
közel 100 művész,	1
Sipos Tünde,	2
Kovács Melinda,	10
Schuch Lili,	2
Alejandro Jodorowsky	2
Mohamed Abouelnaga (EG),	2
Bureau d’Etudes,	2
Myriam Laplante (Olaszország),	2
Miljenko Horvat,	2
Laszlo Kiss,	2
Hegedűs Gyöngyi,	2
STEIN Anna,	2
Andreas Berde	2
Ilse Weber,	2
kisebbségkutató,	2
a díjazott művészek,	2
a megnyitó után Flo Kasearuval Hegyi Dóra beszélget	2
NL m.v.,	2
Vágvölgyi B. András író filmrendező	2
Maurizio Cannavacciuolo,	2
a MOME adjunktusa,	2
CSONTÓ Lajos,	11
Rónai Balázs Zoltán költő	2
WESSELY Anna,	2
Kiállítóhelyek	2
Kurucz Petra,	2
Hoch Bea művészetkritikus	2
Lőrinczi Gergely,	3
Urai Dorottya	1
Szabó Ádám szobrászművész,	1
Molnár Zoltán	6
Schmidt Gabi,	2
Tomas Piars	2
Cságoly Ferenc DLA építész,	2
Dabóczi Mihály szobrászművész (1905-1980) emlékkiállítása,	1
Csernok Gyula,	4
Mikko Kuorinki,	2
Fábián Évi	2
RÉVÉSZ Ákos,	8
Daniel Parnitzke,	4
Zammis Schein (Mesterházy Sándor)	2
Sanna Harkonen,	2
Sandrine Enjalbert,	1
Kaszás Gábor,	5
Bruno Baptistelli,	6
Baigal Dölgön,	4
Dr. Gálig Zoltán művészettörténész  a Szombathelyi Képtár igazgatója,	2
Bö­ször­mé­nyi Ist­ván,	2
József Attila Kör elnöksége,	2
Nicola Trezzi	1
Biljarszki Emil	2
nincs művész	2
Jurecskó László,	25
Kemény István költő	2
Fejér Andor,	1
Birtalan Zsolt,	1
Háber Szilvia,	2
Solti András,	2
HERENDI Péter,	7
Győrffy Éva,	2
Krenner István,	2
Marek Grygiel,	3
Bán András  Miskolci Galéria Városi Művészeti Múzeum,	2
Kelemen Róbert,	4
Kerekes Gábor,	115
Martin Blazícek (CZ),	1
Kerekes Gábor	10
TÁRLATVEZETÉS: 9 MŰTEREMBŐL	2
Sophie Webel,	1
Harsanyi Réka,	2
Anne Breimaier	2
Miguel Angel Ríos,	2
Gáspár Dániel,	2
Breuer Marcell,	7
Michal Kolecek (CZ),	2
+Janáky István,	2
Balázs Mihály DLA,	2
FALCONER XAVÉR Ferenc,	1
Gombos Andrea,	25
KONKOLY Ágnes,	2
Marjetica Potrè,	2
Dr. Jászi Orsolya,	3
építész	3
Wolf Marianne,	2
Blahó Borbála,	31
Tóth József Füles fotóművész köszöntője és tárlatvezetése	2
Kemenczky Judit,	1
Imre Zoltán	2
Christo,	2
Tóth Ákos,	2
Csorján Melitta,	2
Csanádi Gábor,	6
kritikus	15
Varga Erik,	14
Cristian Rusu,	4
Ursula Palla (CH),	2
Poltné Hotykai Katika,	2
Sjoerd van Leeuwen,	2
Popovic Léna hegedűművész	2
BABINSZKY Csilla,	9
Tót Gyula,	2
a Goethe-Institut igazgatója	3
FILP CSABA,	2
Németh-Kassa Gábor m.v.,	4
IAMYANK	2
Fukui Akira,	4
SÓS Evelin,	4
Kozma Levente,	1
Eerie T,	4
Prof. Csanádi Judit rektor,	2
Hamvas Béla nap a Műcsarnokban	2
Einspach Gábor	6
Nemzetközi szimpózium / International Symposium	2
Michail Kolecek,	2
Czinder Fanni,	2
Rudolf Schwarzkogler,	2
secco & freshko,	2
G.G.,	2
Jean-Louis Trintignant,	2
Mierlituiu Emília,	2
André STEMPFEL (F),	4
Hejettes Szomlyazók	3
Klenyánszki Csilla	6
Mieko Shiomi,	2
Sebastian Marbacher,	2
Az FKSE tagjai,	2
Kocsi Olga Piroska & Varga Péter István,	2
Loup BLASTER,	1
Martin Dickinger,	2
Fehér Vera,	13
Trapp Dominika	19
Lengyel András	10
Dr. Michael Zimmermann  budapesti osztrák nagykövet,	2
Pataki Judit,	2
Filo Veronika,	4
moderátorok: Kerényi Máté és KissPál Szabolcs,	2
Pogonyi Csongor,	2
Csonka Zoltán	2
Sabine Himmelsbach,	2
KÓSA GERGELY,	2
Pataki Gábor,	8
Az Orfeo és az Inconnu csoport tagjai,	9
Mark THER,	1
Csanádi-Bognár Szilvia	2
A Hejettes Szomlyazók korai korszaka (1984–1987),	2
Kőnig Frigyes DLA habil,	1
Sirbik Attila,	4
Molnár László József,	4
Newsha TAVAKOLIAN,	2
SARKADI NAGY BALÁZS,	3
megnyitja: Ernyey Gyula egyetemi tanár	2
Méhes Lóránt (Zuzu),	1
Jakub Hošek	2
Büki Zsuzsanna,	15
Szilágyi Lackó,	2
Apokrif,	2
Antal István,	32
