Szekeres Károly,		2014-12-03 20:00:00	2014-12-04 18:00:00
Mika Kitamura,		2009-01-14 20:00:00
Hernády Miklós		2000-02-04 17:00:00	2000-02-04 18:00:00
Valkó Lás,		2011-10-05 17:00:00
Roger Bourke,		2000-11-03 19:00:00
Paul Aron előad&agrave;sa		2001-11-06 18:00:00	2001-11-08 19:00:00
Miskolczi Emese		2016-11-17 18:00:00	2016-11-19 10:30:00
Török Tímea		2016-09-08 17:00:00	2016-09-10 16:00:00
Koncz István,		2001-11-28 18:00:00	2013-02-26 18:00:00	2003-03-28 21:00:00	2003-03-27 19:00:00
SZOLNOKI MŰVÉSZTELEP művészei,		2016-06-28 17:00:00	2016-07-01 17:30:00
Káplár Ferenc,		2010-09-23 18:00:00	2010-09-22 18:00:00
Matthew Stokes,		2007-06-20 19:45:00	2007-06-22 18:00:00
Molnár Sándor		2007-03-09 19:00:00
London Fieldworks,		2014-01-19 15:00:00	2014-01-17 18:00:00	2013-12-11 18:00:00	2013-12-12 19:00:00
Torday Aliz,		2003-01-15 16:00:00
Sugár János		2013-10-26 16:00:00	2013-10-26 16:00:00	2013-10-24 19:00:00	2013-10-24 19:00:00	2012-03-25 15:00:00	2012-03-21 18:00:00	2014-04-18 18:00:00	2014-04-18 18:00:00	2012-06-09 16:00:00	2012-06-09 16:00:00	2012-06-09 16:00:00	2012-06-09 16:00:00	2012-06-07 19:00:00	2012-06-08 12:00:00	2012-06-09 10:00:00	2012-06-10 10:00:00	2013-03-07 17:00:00	2013-03-08 19:00:00	2012-09-13 18:00:00	2012-09-14 18:00:00	2011-04-13 18:00:00	2011-04-14 16:00:00	2011-09-01 19:00:00	2011-09-01 19:00:00	2011-09-02 18:00:00	2011-09-01 18:30:00	2016-08-25 19:00:00	2016-08-24 19:00:00	2019-08-13 19:00:00	2019-08-15 18:00:00	2009-09-12 20:00:00	2009-09-11 19:00:00	2014-11-10 19:00:00	2014-11-11 18:00:00	2009-02-16 18:00:00	2009-02-19 19:00:00	2012-10-20 16:30:00	2012-10-16 18:00:00	2009-03-06 19:00:00	2009-03-04 19:00:00	2009-06-11 18:00:00	2009-06-09 18:00:00	2019-01-31 18:00:00	2015-04-29 18:00:00	2015-04-29 18:00:00	2018-05-29 18:00:00	2018-05-31 18:00:00	2010-06-22 18:15:00	2010-06-24 18:00:00	2017-11-19 16:00:00	2011-04-26 18:00:00	2017-04-21 19:30:00	2012-02-11 16:00:00	2012-02-06 18:00:00	2017-03-14 17:00:00	2017-03-14 19:00:00	2013-05-15 19:00:00	2013-05-14 18:00:00	2017-02-28 18:00:00	2017-02-28 17:00:00	2012-01-21 16:00:00	2012-01-21 16:00:00	2012-01-19 18:00:00	2012-01-20 18:00:00	2008-05-06 18:00:00	2008-05-09 19:30:00	2014-10-26 16:00:00	2014-10-22 13:00:00	2010-10-01 10:00:00	2010-09-29 19:00:00	2010-05-19 19:00:00	2010-05-21 19:00:00	2011-07-07 17:00:00	2011-07-07 17:00:00	2011-07-07 17:00:00	2011-07-08 12:00:00	2011-07-09 12:00:00	2011-07-10 12:00:00	2019-10-24 19:00:00	2019-10-22 18:00:00	2008-09-17 19:00:00	2008-09-16 19:00:00
Mekis D. János		2017-12-05 17:00:00	2017-12-07 18:00:00
Lampert Benedek,		2018-06-05 18:00:00	2018-06-05 18:00:00	2018-06-09 17:00:00
