V. A. M. rs Gaéria	2
RS9 Színház	2
Miskolci Kortárs Művészeti Intézet (M.ICA)	28
Hybridart Space	6
Várkert Bazár	10
Mucius Museum	38
Robert Capa Kortárs Fotográfiai Központ	143
MG Galéria	9
Rákospalotai Múzeum	1
ART EXPO	1
UP Galéria	1
Mű-vész Pince	22
K28 Lakás-Galéria	24
Goethe Institut Budapest	33
MERSZ Klub	1
Szlovák Intézet	19
Budapest Galéria	211
Sesztina Galéria	10
Inventio Arts	1
Műcsarnok – M0	3
Vizivárosi Galéria	67
CHANGE-CHANGE	5
Jászi Galéria	9
Udvarház Galéria	20
Galeria White	1
Városi Képtár - Deák Gyűjtemény, Székesfehérvár	31
Cadre Rouge Galéria	21
Trafó Galéria	234
Csikász Galéria	9
Janus Pannonius Múzeum	5
Enigma Arts Galéria	5
Fészek Galéria	156
Magyar Fotográfusok Háza - Mai Manó Ház	114
ROHAM Galéria	27
Körmendi Galéria Budapest	2
ISBN könyv+galéria	43
Art Factory Galéria I.	1
MET Galéria	89
Dubniczay-palota / Várgaléria	3
Ráday Képesház	4
Pannonhalmi Főapátság	3
ikon.hu	5
Új Budapest Galéria	68
Lengyel Intézet Budapest	23
Novák Fotó Galéria	1
MONO Kortárs Művészeti Galéria	50
Kultúrkúria	6
Art+Text Budapest	8
Próféta Galéria	19
Duna Galéria	6
Artkartell projectspace	2
Budapest Fiction	1
Prestige Galéria	10
AMATÁR	11
Park Galéria	9
Liget Galéria	215
Nessim Galéria	53
Mono Art & Design	6
FSzEK Budafoki Könyvtára	1
MAMŰ Galéria	274
Barakk Galéria	1
PINCE	7
Videospace Budapest	63
Raiffeisen Galéria	18
Koreai Kulturális Központ	6
Nyíregyházi Városi Galéria	10
Herman Ottó Múzeum - Miskolci Galéria tagintézménye	165
Godot Galéria	41
MissionArt Galéria Miskolc	3
Pepper Art Projects	4
Átrium Galéria	1
MOHA Kultúrtér	17
Művészet mindenkinek	20
MTA Művészeti Gyűjtemény	5
Millenáris - Pixel Galéria	6
Hegyvidék Galéria	152
G13 Galéria	16
Sziget Galéria	4
BudapestArtWeek	28
Magyar Műhely Galéria	80
B24 Galéria	30
Symbol Art Galéria	33
Bolt Galéria	3
Galéria 56	1
Csepel Galéria Művészetek Háza	8
Abigail Galéria és Aukciós Ház	10
MEO - Kortárs Művészeti Gyűjtemény	9
FLUX Galéria	5
Dovin Galéria	69
Városi Művészeti Múzeum Képtára, Győr	7
boulevardésbrezsnyev Galéria	71
Galéria IX	13
FUGA Budapesti Építészeti Központ	369
Új Művészet folyóirat	13
Vármegye Galéria	3
Bercsényi 28-30 Galéria	22
Molnár Ani Galéria	73
Új Színház Galéria	2
TERRARIUM - CCA Budapest	6
Random Galéria	1
Karinthy Szalon	120
Kondor Béla Közösségi Ház és Intézményei	20
Balatonboglári Kápolnatárlat	1
Demeter Galéria	53
Várfok Galéria - XO Terem	46
QWERTmozi Galéria	3
Kisterem	93
Léna & Roselli Galéria	73
BackStage Galéria	1
ARTFORT Monostori Erőd	8
Gólya Presszó és Közösségi Ház	1
Europe-in-Art kiállítás	2
IMPEX	28
Sajtóház Galéria	1
Art Factory Galéria II.	5
Ponton Galéria	3
Volksbank Galéria Rózsadomb	3
Stoll'Art Kortárs Művészeti Galéria	1
Barabás Villa Galéria	7
Pécsi Galéria m21	6
Szív Studios	1
Új Magyar Képtár	9
Kálmán Makláry Fine Arts	9
Millenáris park	16
Ferenczy Múzeumi Centrum	314
OFF-Biennálé 2015	53
OFF-Biennálé 2017	64
Blood Mountain Alapítvány	7
Kegyeleti Múzeum-Temetkezési és Kegyeleti Szakgyűjtemény, Fiumei úti Sírkert	10
Nádor Galéria	4
RohamKávézóGaléria KVG	10
Dubniczay-palota / Magtár	2
Nagy Balogh János kiállítóterem	10
Ferencvárosi Pincegaléria	29
Galeria Neon	90
Pintér Sonja Kortárs Galéria	14
PTE Művészeti Kar Doktori Iskola	6
Magyar Alkotóművészek Háza	1
Művészet Malom	8
Kis Zsinagóga - Egri Kortárs Galéria	35
Várfok Project Room	62
Francia Intézet, Budapest	61
Makett Labor	1
Pécsi Galéria	11
Csók István Képtár	4
Pécs Városi Képtár (Antal-Lusztig Gyűjtemény)	4
Inda Galéria	120
REAKTOR	7
Memoart Galéria	46
Demo Galéria	24
LAOS kiállítótér	9
BÜRO imaginaire	1
Gödör Klub	2
Labor Kísérleti Kultúrtér	1
Szatyor Bár és Galéria	26
Körzőgyár	8
