name	frequency
Műcsarnok	943
Ludwig Múzeum - Kortárs Művészeti Múzeum	649
FUGA Budapesti Építészeti Központ	369
Ferenczy Múzeumi Centrum	314
MAMŰ Galéria	274
Trafó Galéria	234
Liget Galéria	215
Budapest Galéria	211
K. A. S. Galéria	198
Fiatal Képzőművészek Stúdiója - Stúdió Galéria	188
Fiatal Képzőművészek Stúdiója Egyesület	171
Labor	168
20 éves az ikOn	168
Herman Ottó Múzeum - Miskolci Galéria tagintézménye	165
Fővárosi Képtár - Kiscelli Múzeum	163
Fészek Galéria	156
Hegyvidék Galéria	152
Robert Capa Kortárs Fotográfiai Központ	143
Faur Zsófi Galéria	140
Parthenon-fríz Terem	137
Magyar Képzőművészeti Egyetem	136
Szolnoki Művésztelep - KERT Galéria	130
tranzit.hu	129
Ateliers Pro Arts/A.P.A.!	120
Inda Galéria	120
Karinthy Szalon	120
Magyar Fotográfusok Háza - Mai Manó Ház	114
Platán Galéria	110
acb Kortárs Művészeti Galéria	107
Óbudai Társaskör Galéria	107
2B Galéria	105
Kassák Múzeum	102
Deák Erika Galéria	101
Kortárs Művészeti Intézet, Dunaújváros	100
Knoll Galéria	99
Ari Kupsus Galéria	94
Kisterem	93
Ernst Múzeum	91
Centrális Galéria	91
Galeria Neon	90
Vintage Galéria	89
MET Galéria	89
B32 Galéria és Kultúrtér	88
VILTIN Galéria	84
Várfok Galéria	82
Telep Galéria	80
Magyar Műhely Galéria	80
kArton Galéria és Múzeum - raktArt	79
Modem Modern és Kortárs Művészeti Központ	76
Régi Budapest Galéria (2013-ig)	75
Léna & Roselli Galéria	73
Molnár Ani Galéria	73
Szombathelyi Képtár	72
boulevardésbrezsnyev Galéria	71
Lumen Galéria	70
Dovin Galéria	69
Új Budapest Galéria	68
Várfok Galéria - Várfok Terem	68
Vizivárosi Galéria	67
Fiatalok Fotóművészeti Stúdiója	65
OFF-Biennálé 2017	64
NextArt Galéria	63
Videospace Budapest	63
Tat Contemporary Art Gallery	63
Várfok Project Room	62
Francia Intézet, Budapest	61
A38 Kiállítóhely	61
Bálint Ház	58
LATARKA - Kortárs Művészeti Galéria	57
Resident Art Budapest	56
Nessim Galéria	53
Demeter Galéria	53
OFF-Biennálé 2015	53
Art9 Galéria	51
Erlin Galéria	51
Crosstalk Video Art Festival	51
Horizont Galéria	51
MONO Kortárs Művészeti Galéria	50
MissionArt Galéria Budapest	49
PH21 Galéria	47
Memoart Galéria	46
Várfok Galéria - XO Terem	46
Paksi Képtár	44
ISBN könyv+galéria	43
ACAX / Agency for Contemporary Art Exchange	42
Chimera-Project	42
Trapéz	41
Godot Galéria	41
KOGART Ház	40
Városi Képtár - Pelikán Galéria, Székesfehérvár	40
Három Hét Galéria	40
Műcsarnok – Mélycsarnok	40
Fogasház	39
Vasarely Múzeum	39
Chinese Characters contemporary art space / kortárs műtér	38
Iparművészeti Múzeum	38
Mucius Museum	38
KOGART Galéria	36
Osztrák Kulturális Fórum kiállítóterme	35
Kis Zsinagóga - Egri Kortárs Galéria	35
Goethe Institut Budapest	33
Symbol Art Galéria	33
Retorta Galéria	32
Szent István Király Múzeum, Székesfehérvár	31
Városi Képtár - Deák Gyűjtemény, Székesfehérvár	31
Magyar Festészet Napja	31
Vajda Lajos Stúdió Pinceműhely, Szentendre	31
KLAUZÁL13 Galéria	31
Bartók 32 Galéria	30
B24 Galéria	30
C3 Alapítvány	30
Pesti Vigadó	30
Ferencvárosi Pincegaléria	29
Miskolci Kortárs Művészeti Intézet (M.ICA)	28
IMPEX	28
Artpool P60	28
BudapestArtWeek	28
ROHAM Galéria	27
Szatyor Bár és Galéria	26
OCTOGONART Galéria	25
Holdudvar Galéria - Margitsziget	24
K28 Lakás-Galéria	24
Kepes Intézet	24
K. Petrys Ház	24
Demo Galéria	24
Lengyel Intézet Budapest	23
Tranzit Art Kávéház	22
Mű-vész Pince	22
Koller Galéria	22
Bercsényi 28-30 Galéria	22
Hal Köz Galéria	22
Tűzraktér	21
Cadre Rouge Galéria	21
Kondor Béla Közösségi Ház és Intézményei	20
Kortárs Művészetért Alapítvány	20
Művészet mindenkinek	20
Udvarház Galéria	20
Art Quarter Budapest	20
ART&ME Galéria	20
Higgs Mező	19
B55 Kortárs Galéria	19
Néprajzi Múzeum	19
Próféta Galéria	19
Bartók 1 Galéria	19
Kirakat	19
Szlovák Intézet	19
Vadnai Galéria	19
ARTUS – KAPCSOLÓTÉR	19
Képíró Galéria	19
FERI	18
Raiffeisen Galéria	18
Greguss Galéria	18
MANK Galéria	18
MOHA Kultúrtér	17
Újlipótvárosi Klub Galéria	17
Köztéri Képzőművészeti Project	17
Millenáris park	16
G13 Galéria	16
cARTc	16
MÜSZI	16
Blitz Galeria	16
Szenecsár Galéria	15
műtárgy.com	15
Budapest Art Brut Galéria	14
Pintér Sonja Kortárs Galéria	14
LUK	13
Galéria RadaR	13
Új Művészet folyóirat	13
Galéria IX	13
Hidegszoba Stúdió	12
Artitude Galéria	12
PANEL contemporary	12
ARTplacc Kortárs Művészeti Fesztivál	11
Kortárs Műgyűjtő Akadémia – CCA	11
Virág Judit Kortárs Galéria	11
1 x 1 tábla	11
Pécsi Galéria	11
Parti Galéria	11
AMATÁR	11
ArtBázis	11
Szent István Király Múzeum, Rendház	10
MyMuseum Galéria	10
Vam Art & Design Galéria	10
Prestige Galéria	10
Millenáris - Piros-Fekete Galéria	10
Nagy Balogh János kiállítóterem	10
Abigail Galéria és Aukciós Ház	10
Várkert Bazár	10
Sesztina Galéria	10
Erdész Galéria	10
Jurányi Galéria	10
Nyíregyházi Városi Galéria	10
RohamKávézóGaléria KVG	10
Kegyeleti Múzeum-Temetkezési és Kegyeleti Szakgyűjtemény, Fiumei úti Sírkert	10
N&n Galéria	9
MG Galéria	9
Új Magyar Képtár	9
Csikász Galéria	9
LAOS kiállítótér	9
Magyar Nemzeti Galéria	9
MEO - Kortárs Művészeti Gyűjtemény	9
Újbuda Galéria	9
Közelítés Galéria	9
Kálmán Makláry Fine Arts	9
Park Galéria	9
Kitchen Budapest	9
Titok Galéria	9
Jászi Galéria	9
Csepel Galéria Művészetek Háza	8
ARTFORT Monostori Erőd	8
Körzőgyár	8
Art+Text Budapest	8
Omnivore Gallery	8
Művészet Malom	8
San Marco Galéria	8
Tragor Ignác Múzeum	8
Körönd Galéria	7
Light & Loft Gallery	7
PINCE	7
Városi Művészeti Múzeum Képtára, Győr	7
Zichy kastély Zsámbék	7
Blood Mountain Alapítvány	7
Barabás Villa Galéria	7
UVG art gallery	7
REAKTOR	7
Rugógyár Galéria	6
Kultúrkúria	6
Millenáris - Pixel Galéria	6
Hybridart Space	6
PTE Művészeti Kar Doktori Iskola	6
secret-areas.com	6
Puskin Galéria	6
Pécsi Galéria m21	6
Koreai Kulturális Központ	6
Duna Galéria	6
Nyitott Műhely	6
noMade Galéria	6
Pinceszínház	6
TERRARIUM - CCA Budapest	6
Minden ember művész: a művészet tőke	6
Mono Art & Design	6
Art Factory Galéria II.	5
Nádor Galéria Art&Med Kulturális Központ	5
ikon.hu	5
Janus Pannonius Múzeum	5
Gutmann Galéria	5
Glassyard Galéria	5
Enigma Arts Galéria	5
CHANGE-CHANGE	5
Lux Galéria - Works on Paper	5
Műterem Galéria	5
Esernyős Galéria	5
Lakástárlat Szentendre	5
Kis Varsó Kiállítóterem	5
Almássy Téri Szabadidőközpont Galéria	5
MTA Művészeti Gyűjtemény	5
Merlin	5
FLUX Galéria	5
Visual Studies Platform (VSP) at CEU	5
Írók Boltja	4
Printa Gallery	4
Petőfi Irodalmi Múzeum	4
Sziget Galéria	4
Kolta Galéria	4
La Galerie Sofitel	4
Óbudai Pincegaléria	4
4M RadaR Underground Station	4
Pepper Art Projects	4
MNM Semmelweis Orvostörténeti Múzeum, Könyvtár és Adattár	4
Pécs Városi Képtár (Antal-Lusztig Gyűjtemény)	4
Csók István Képtár	4
Miskolci Kortárs Művészeti Intézet (M.ICA) - ZOOM	4
Kilátó Galéria	4
Bunker Galéria	4
Ráday Képesház	4
Modern Képtár – Vass László Gyűjtemény és Galéria	4
Volksbank Galéria Buda	4
Nádor Galéria	4
PROTOKOLL	4
BUMBUM	4
Vármegye Galéria	3
Werk Galéria	3
MOME	3
Illárium Művészeti Galéria	3
Műtő	3
MissionArt Galéria Miskolc	3
Volksbank Galéria Rózsadomb	3
Művészetek Háza Miskolc	3
Szépművészeti Múzeum	3
Ludwig Lépcső	3
Műcsarnok – M0	3
Magyar Fotográfiai Múzeum	3
LAVOR Collective Art Salon	3
Pepita Ofélia Bár	3
Studio 1900 Galéria	3
LIGHTBOX	3
Ari Kupsus Gallery – GRAPHICS	3
Dubniczay-palota / Várgaléria	3
Józsefvárosi Galéria	3
PLACCC Fesztivál	3
Magyar Zsidó Múzeum és Levéltár	3
Bolt Galéria	3
Pannonhalmi Főapátság	3
WAX Kultúrgyár	3
QWERTmozi Galéria	3
Ponton Galéria	3
Kontra Klub	2
Érdi Galéria	2
KAPTÁR Galéria	2
Europe-in-Art kiállítás	2
Art Factory Studió és Art Factory Fotó	2
ArtGuideEast	2
BUPAP Budapesti Aszfaltprojekt	2
Éri Galéria	2
Szerbtemplom Galéria	2
Artmagazin	2
Dubniczay-palota / Magtár	2
KÉK - Kortárs Építészeti Központ	2
Artkartell projectspace	2
Gödör Klub	2
RS9 Színház	2
Concrete Project	2
320fok Siófok	2
BALKON - Kortárs Művészeti Folyóirat	2
Igor Metropol Studio	2
Present Szalon & Galéria	2
KOGART Kiállítások Tihany	2
OFF-Biennále Budapest	2
115-106 Lakásgaléria	2
Új Színház Galéria	2
AKKU - Alternatív Kulturális Közösségek Úniója	2
POVVERA	2
Kisüzem	2
Körmendi Galéria Budapest	2
CEU - Közép-európai Egyetem	2
KioGallery	2
Tölgyfa Galéria	2
V. A. M. rs Gaéria	2
Vigadó Galéria	2
Átrium Galéria	1
Kápolna Galéria	1
byArt Galéria	1
ABB Galéria	1
Toldi Mozi	1
ZOLTAN+	1
Budapest Fiction	1
A22 Galéria	1
Art Factory Galéria I.	1
Galéria X	1
Medgyessy Ferenc Emlékmúzeum Kortárs Művészeti Galériája	1
Trailer Galéria	1
Közösségi Méz	1
Secco Galéria	1
Kieselbach Galéria	1
Szinyei Szalon	1
Makett Labor	1
Kléh	1
Balatonboglári Kápolnatárlat	1
Ferencvárosi Helytörténeti Gyűjtemény	1
Bergman Galéria	1
Stoll'Art Kortárs Művészeti Galéria	1
Fejér Megyei Művelődési Központ Művészetek Háza kiállítóterme	1
Novák Fotó Galéria	1
DINAMO	1
Madách Imre Művelődési Központ, Vác	1
Zenit Galeria	1
független képzőművészeti tanszék / f...k	1
Társalgó Galéria	1
Szív Studios	1
Szabad Művészek	1
Labor Kísérleti Kultúrtér	1
Karlsson/Svensson Contemporary, Budapest	1
Galéria 56	1
Béka Kortárs Művészeti Galéria	1
Erzsébetvárosi Zsidó Történeti Tár	1
Szövetség ’39 Művészeti Bázis	1
Kecskeméti Acélszobrászati Szimpozion	1
Rögtön Jövök! Projekt Galéria	1
Eleven Emlékmű Kritikai Műhely	1
BÜRO imaginaire	1
Bartók Béla Boulevard	1
Medence Szalon	1
ART EXPO	1
D-udvar Galéria	1
Inventio Arts	1
Limes Galéria	1
Collegium Budapest	1
Sajtóház Galéria	1
Extra kávézó	1
Sikósi Vár	1
BackStage Galéria	1
Barakk Galéria	1
Rákospalotai Múzeum	1
Magyar Alkotóművészek Háza	1
re:public	1
FSzEK Budafoki Könyvtára	1
Gólya Presszó és Közösségi Ház	1
UP Galéria	1
Erdős Renée Ház	1
Random Galéria	1
MERSZ Klub	1
U-Fesztivál	1
Szolnoki Múzeum	1
Vaszary Galéria	1
Galeria White	1
Bakelit Multi Art Center	1
Szent István Bazilika	1
aica.hu	1
